Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Pyrimidine Nucleobase Transmembrane Transporter Activity (GO:0005350)	1/6	0.0296309633944118	0.1682757655798449	0	0	40.19191919191919	141.432767389918	SLC28A2
GO_Molecular_Function_2023	Fatty Acid Elongase Activity (GO:0009922)	1/6	0.0296309633944118	0.1682757655798449	0	0	40.19191919191919	141.432767389918	ELOVL6
GO_Molecular_Function_2023	Nucleotide Transmembrane Transporter Activity (GO:0015215)	1/7	0.0344842492004146	0.1682757655798449	0	0	33.49158249158249	112.77461836050252	ABCC5
GO_Molecular_Function_2023	Purine Nucleotide Transmembrane Transporter Activity (GO:0015216)	1/7	0.0344842492004146	0.1682757655798449	0	0	33.49158249158249	112.77461836050252	ABCC5
GO_Molecular_Function_2023	Pyrimidine Nucleoside Transmembrane Transporter Activity (GO:0015214)	1/7	0.0344842492004146	0.1682757655798449	0	0	33.49158249158249	112.77461836050252	SLC28A2
GO_Molecular_Function_2023	Type II Transforming Growth Factor Beta Receptor Binding (GO:0005114)	1/8	0.0393135041520565	0.1682757655798449	0	0	28.705627705627705	92.8967850071638	ENG
GO_Molecular_Function_2023	Long-Chain Fatty Acid Binding (GO:0036041)	1/8	0.0393135041520565	0.1682757655798449	0	0	28.705627705627705	92.8967850071638	UCP1
GO_Molecular_Function_2023	Lysophospholipid Acyltransferase Activity (GO:0071617)	1/8	0.0393135041520565	0.1682757655798449	0	0	28.705627705627705	92.8967850071638	PNPLA3
GO_Molecular_Function_2023	Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004112)	1/8	0.0393135041520565	0.1682757655798449	0	0	28.705627705627705	92.8967850071638	PDE4D
GO_Molecular_Function_2023	Nucleoside Transmembrane Transporter Activity (GO:0005337)	1/8	0.0393135041520565	0.1682757655798449	0	0	28.705627705627705	92.8967850071638	SLC28A2
GO_Molecular_Function_2023	Amino Acid:Monoatomic Cation Symporter Activity (GO:0005416)	1/9	0.0441188457824273	0.1682757655798449	0	0	25.116161616161616	78.3842312444799	SLC6A6
GO_Molecular_Function_2023	Type I Transforming Growth Factor Beta Receptor Binding (GO:0034713)	1/9	0.0441188457824273	0.1682757655798449	0	0	25.116161616161616	78.3842312444799	SMAD6
GO_Molecular_Function_2023	Cardiolipin Binding (GO:1901612)	1/9	0.0441188457824273	0.1682757655798449	0	0	25.116161616161616	78.3842312444799	UCP1
GO_Molecular_Function_2023	co-SMAD Binding (GO:0070410)	1/9	0.0441188457824273	0.1682757655798449	0	0	25.116161616161616	78.3842312444799	SMAD6
GO_Molecular_Function_2023	Purine Nucleobase Transmembrane Transporter Activity (GO:0005345)	1/9	0.0441188457824273	0.1682757655798449	0	0	25.116161616161616	78.3842312444799	SLC28A2
GO_Molecular_Function_2023	Metal Ion Binding (GO:0046872)	6/521	0.0466409515680423	0.1682757655798449	0	0	2.402602768023136	7.364641406615942	ANXA3;EYA2;PHACTR1;EML1;NCALD;MYL12B
GO_Molecular_Function_2023	ABC-type Xenobiotic Transporter Activity (GO:0008559)	1/10	0.0489003911418304	0.1682757655798449	0	0	22.32435465768799	67.37423003045056	ABCC5
GO_Molecular_Function_2023	Transforming Growth Factor Beta Receptor Activity (GO:0005024)	1/10	0.0489003911418304	0.1682757655798449	0	0	22.32435465768799	67.37423003045056	LTBP1
GO_Molecular_Function_2023	Vinculin Binding (GO:0017166)	1/10	0.0489003911418304	0.1682757655798449	0	0	22.32435465768799	67.37423003045056	CORO2B
GO_Molecular_Function_2023	MAP-kinase Scaffold Activity (GO:0005078)	1/10	0.0489003911418304	0.1682757655798449	0	0	22.32435465768799	67.37423003045056	SH3RF1
