	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	celltype	group	group1	group2
LOC498154	111.48641121225381	0.4888457985638565	0.31836315506136986	1.5354974053753903	0.12466169392741595	0.35465059120205006	LOC498154	Adipocytes_Brown	diet	Control	HF
LOC498231	18.584621280849195	-0.9601520116206602	0.5644610408691549	-1.7010066986061994	0.08894172933901365	0.2902997102886671	LOC498231	Adipocytes_Brown	diet	Control	HF
LOC498265	36.44186142507825	-0.38689798820816307	0.3762298756944733	-1.0283553040385158	0.30378272511052173	0.5837760620078191	LOC498265	Adipocytes_Brown	diet	Control	HF
LOC498368	660.3429485885839	-0.0753948439297198	0.23917556102037985	-0.3152280425644972	0.7525885152494614	0.8927300211045058	LOC498368	Adipocytes_Brown	diet	Control	HF
LOC498675	15.815727694874425	-1.232245667981066	0.5341742051650243	-2.3068236093511554	0.02106465551399581	0.1145519441711767	LOC498675	Adipocytes_Brown	diet	Control	HF
LOC499643	24.138982620571166	-1.8723600650327064	0.6395943604512119	-2.927418033692199	0.0034178913913118737	0.03121267245565879	LOC499643	Adipocytes_Brown	diet	Control	HF
LOC500007	152.05815689343197	-0.9746763544692885	0.30157076852235215	-3.231998775096952	0.0012292758303814315	0.01436589715852523	LOC500007	Adipocytes_Brown	diet	Control	HF
LOC500124	30.25801676308438	0.8917916942428545	0.38354730335508597	2.325115276373717	0.020065797009724762	0.11019811630985013	LOC500124	Adipocytes_Brown	diet	Control	HF
LOC500475	16.684486688435026	0.5148541095692352	0.4952741177705186	1.0395336463105647	0.2985566183351587	0.578148392291065	LOC500475	Adipocytes_Brown	diet	Control	HF
LOC500584	41.86749173796913	0.14646683942165128	0.35941125400638785	0.40751879021308585	0.6836269962933691	0.8573838677271653	LOC500584	Adipocytes_Brown	diet	Control	HF
LOC500712	16.00862119600888	-0.509097446853039	0.4889792173882328	-1.041143322148256	0.29780903583295615	0.5775923123671639	LOC500712	Adipocytes_Brown	diet	Control	HF
LOC500959	7.289134929140498	2.5138108882470327	0.9754967772187606	2.576954580428405	0.009967504694754796	0.0678204084738904	LOC500959	Adipocytes_Brown	diet	Control	HF
LOC501038	5.641565171928292	1.2954654648447061	1.0816617526791166	1.197662265154545	0.23104852529397224	0.5085249232243868	LOC501038	Adipocytes_Brown	diet	Control	HF
LOC502684	80.00806432056267	0.20770301935167598	0.39711055367794057	0.5230357577454982	0.6009493698278054	0.8084960215982839	LOC502684	Adipocytes_Brown	diet	Control	HF
LOC678708	5.802978523820283	-0.3766833553694055	0.8326609446275838	-0.4523850407537501	0.6509916217511499	0.8382555099993649	LOC678708	Adipocytes_Brown	diet	Control	HF
LOC679539	143.6887616834886	-0.18371635688282406	0.2586807123001162	-0.7102050835150013	0.47757696893330426	0.7244802056871562	LOC679539	Adipocytes_Brown	diet	Control	HF
LOC679863	384.27193919116274	-1.0045493408396549	0.2821277618562156	-3.5606185446989667	0.00036998223291142163	0.00562452181661418	LOC679863	Adipocytes_Brown	diet	Control	HF
LOC679924	24.898554829117774	-0.3864764691257919	0.5389819100820746	-0.7170490547019293	0.47334382891508664	0.7221823531553755	LOC679924	Adipocytes_Brown	diet	Control	HF
LOC680039	2594.736931969079	0.40079703778496123	0.22232277881422316	1.8027709077884204	0.0714242008676306	0.2528124053412672	LOC680039	Adipocytes_Brown	diet	Control	HF
LOC681186	5.9700513360754845	1.3662096859311341	0.8712775634611402	1.568053331367655	0.11686868659462031	0.3416798898038465	LOC681186	Adipocytes_Brown	diet	Control	HF
LOC681241	3.7548280892478623	2.0481288715924992	1.0828767207516978	1.8913776908702542	0.05857394443417996	0.22261233043727433	LOC681241	Adipocytes_Brown	diet	Control	HF
LOC685184	3.7979838807577795	0.24143669698086348	1.0117874806189915	0.23862392212360378	0.8113972137411358	0.9223538168116316	LOC685184	Adipocytes_Brown	diet	Control	HF
LOC685989	49.690023708065176	0.08110091316271426	0.3266867758734258	0.24825281937379873	0.8039388011640125	0.9184754321851074	LOC685989	Adipocytes_Brown	diet	Control	HF
LOC686087	4.318932686734684	1.1587967552897234	0.9012674286644603	1.2857412999012758	0.1985333624913883	0.4669301034829224	LOC686087	Adipocytes_Brown	diet	Control	HF
LOC687679	62.720833707029186	-0.9299067842737723	0.3839003415382734	-2.4222608934070564	0.01542427252713641	0.09104308599235411	LOC687679	Adipocytes_Brown	diet	Control	HF
LOC687780	83.47648946682008	-0.8176730083997037	0.2729023600179458	-2.9962108365275193	0.0027335735980732407	0.02644866730133666	LOC687780	Adipocytes_Brown	diet	Control	HF
LOC688815	5.206743084220933	0.4084017553011194	0.9178039647323751	0.444977109485691	0.6563362964765515	0.8419042390340834	LOC688815	Adipocytes_Brown	diet	Control	HF
LOC689065	5.116175140927119	2.348072182703611	1.0139161084341068	2.315844637610084	0.02056675302132995	0.11231069572665138	LOC689065	Adipocytes_Brown	diet	Control	HF
LOC690000	981.5059958473397	0.560984458918375	0.1773119152243912	3.163828320327147	0.0015570861573939712	0.017265695162430112	LOC690000	Adipocytes_Brown	diet	Control	HF
LOC690035	545.0553540463706	0.10868265901868594	0.1726681546301759	0.6294308249918152	0.5290670428151445	0.7627784974298005	LOC690035	Adipocytes_Brown	diet	Control	HF
LOC690507	4.921488678508237	-2.630518927615005	0.994085788605545	-2.6461689300527764	0.008140915027884946	0.058902998659597645	LOC690507	Adipocytes_Brown	diet	Control	HF
LOC690840	3.966179790099115	0.4076858986273201	1.0819831151031365	0.3767950654095547	0.7063259081677462	0.8691411680389447	LOC690840	Adipocytes_Brown	diet	Control	HF
LOC691083	747.2217666782384	0.6268221909352132	0.3772015083455919	1.6617701071357298	0.0965588780841255	0.30475145616516075	LOC691083	Adipocytes_Brown	diet	Control	HF
LOC691113	102.72364601637207	-0.42476013768133675	0.26909522393454754	-1.5784752009744025	0.11445648092924039	0.3375140267000189	LOC691113	Adipocytes_Brown	diet	Control	HF
LOC691135	143.50834222329152	0.1680648117539725	0.2956234537702674	0.5685097363234844	0.5696888964305777	0.7899644838248304	LOC691135	Adipocytes_Brown	diet	Control	HF
LOC691141	8.761556160843652	-0.42383644458213615	0.6580029251825298	-0.6441254717288135	0.5194940742410061	0.7555970507876082	LOC691141	Adipocytes_Brown	diet	Control	HF
LOC691170	112.58183326565604	0.17470497551221797	0.2919204080028765	0.598467838228345	0.5495278125908595	0.7752256635842526	LOC691170	Adipocytes_Brown	diet	Control	HF
LOC691215	5.650168546146276	0.9087406595059005	0.7841137711580065	1.158939803038838	0.24648072309375713	0.5267016621684247	LOC691215	Adipocytes_Brown	diet	Control	HF
