gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Slc25a12,Slc25a12,Adipocytes_Brown,time,Control,F,3.0531321418617825,0.8193615912918595,1.2604467787703475,0.4441006140113131,-1.792685363091435,0.9319757360841288,-1.9235322269480315,0.05441324322316321,0.9999939767421606
Wif1,Wif1,Adipocytes_Brown,time,Control,F,3.1141362992400268,1.066925603302379,1.3499108146285217,0.7241201159259663,-1.764225484611505,1.28944956678064,-1.3682004554984146,0.1712493390814609,0.9999939767421606
Ctnna3,Ctnna3,Adipocytes_Brown,time,Control,F,1.9473843479375,0.2704456720809041,0.195345811998232,0.3656612483074847,-1.7520385359392678,0.45480656334432984,-3.852271882481203,0.00011702698089455232,0.29028542610893704
Gsta4,Gsta4,Adipocytes_Brown,time,Control,F,2.0909658584335227,0.6937106156189852,0.338981267022334,0.5175193401384499,-1.7519845914111887,0.8654829204783928,-2.0242855750900146,0.042940776961845506,0.9999939767421606
Itga4,Itga4,Adipocytes_Brown,time,Control,F,2.142677858081469,0.654150956172292,0.4079457492002117,0.5548428822903887,-1.7347321088812573,0.8577669249215838,-2.0223816732498108,0.04313693689202269,0.9999939767421606
Lfng,Lfng,Adipocytes_Brown,time,Control,F,2.0710504975393595,0.3949826234325911,0.3514158595156138,0.4623709548513839,-1.7196346380237457,0.6081103293842923,-2.8278332975610927,0.004686420323657403,0.9999939767421606
Cdh13,Cdh13,Adipocytes_Brown,time,Control,F,2.8910234185289867,1.2784704763267971,1.1809397119246718,0.5451861675419397,-1.7100837066043149,1.3898614017657787,-1.230398732155381,0.2185478279003652,0.9999939767421606
Grik2,Grik2,Adipocytes_Brown,time,Control,F,1.85356187245748,0.8643984188584609,0.1445699626441011,0.7621024491284716,-1.708991909813379,1.1523822150192278,-1.483007883616864,0.13807231620723592,0.9999939767421606
Ccdc181,Ccdc181,Adipocytes_Brown,time,Control,F,1.7093014935498942,0.5330458145915843,-0.0013646388992234,0.4067669806672461,-1.7079368546506708,0.6705201093291338,-2.547182151418977,0.010859673198270858,0.9999939767421606
Abracl,Abracl,Adipocytes_Brown,time,Control,F,2.055152561114682,0.9029636986722612,0.3488006542179747,0.5729545039836225,-1.7063519068967072,1.0694018443761022,-1.595613394413217,0.11057513516814432,0.9999939767421606
Adamts5,Adamts5,Adipocytes_Brown,time,Control,F,1.7168335863596542,0.796238859820139,-0.0149759969234836,0.4994896309694687,-1.7018575894361707,0.9399394732288303,-1.8106033823540144,0.0702022682584924,0.9999939767421606
Grb10,Grb10,Adipocytes_Brown,time,Control,F,1.7857324233976095,0.7634179916330109,-0.0886269204685575,0.7544635597012258,-1.697105502929052,1.073323014225459,-1.581169396757725,0.11383931070259146,0.9999939767421606
Rin3,Rin3,Adipocytes_Brown,time,Control,F,1.8176347916482904,0.5734006472871144,0.1322992642894978,0.8045789034596121,-1.6853355273587927,0.9879957055582547,-1.7058126041211028,0.08804297565012709,0.9999939767421606
Col6a6,Col6a6,Adipocytes_Brown,time,Control,F,2.170510458646868,0.8254656398420547,0.5090890942307214,0.5400879801105256,-1.6614213644161469,0.9864525071283058,-1.6842385744983963,0.09213557111436765,0.9999939767421606
Hmgcs2,Hmgcs2,Adipocytes_Brown,time,Control,F,2.88921316767702,0.8392648304955844,1.2289128332321555,0.5414709214074737,-1.6603003344448646,0.9987773597937833,-1.6623327693247525,0.09644607083441303,0.9999939767421606
Npr2,Npr2,Adipocytes_Brown,time,Control,F,1.768881316938664,0.7244746423231818,0.1282166573036797,0.5280535524075239,-1.640664659634984,0.8964954331057732,-1.830087024482823,0.06723692688477301,0.9999939767421606
