gene_id,gene_id,celltype,group,sub_id,sub_id_2,log2FoldChange_Control,lfcSE_Control,log2FoldChange_HF,lfcSE_HF,log2FC_diff,se_delta,z,pval,padj_diff
Klhl21,Klhl21,Adipocytes_Brown,time,Control,M,-1.1338673862709352,0.5924498761898831,-2.5970371219919466,0.5035474844169707,1.4631697357210114,0.7775325876515191,1.8818114622570479,0.059861618963430674,0.9999570852014581
Tbcc,Tbcc,Adipocytes_Brown,time,Control,M,0.101123005703434,0.6097613521232134,-1.5948729941158857,0.6624660218717527,1.4937499884124517,0.9003722211828367,1.6590360667170327,0.09710852482905352,0.9999570852014581
Fyb2,Fyb2,Adipocytes_Brown,time,Control,M,-1.1471990094338058,0.997969001971417,-2.669243736354192,1.068786357802367,1.5220447269203863,1.4622743954266162,1.0408749080751922,0.2979336085347508,0.9999570852014581
Col6a3,Col6a3,Adipocytes_Brown,time,Control,M,-0.7127049064050273,0.7582183255856426,-2.2595628677054016,1.0923880696627604,1.5468579613003743,1.3297393443812315,1.1632790800968402,0.24471629059081135,0.9999570852014581
Prg4,Prg4,Adipocytes_Brown,time,Control,M,-0.2990548190888807,1.0105405559732643,-1.8617802272835564,0.6886549600972545,1.5627254081946758,1.2228809710406428,1.2779047554111775,0.2012830111392805,0.9999570852014581
Rbfox1,Rbfox1,Adipocytes_Brown,time,Control,M,-1.8002087528029722,0.8191941425729714,-3.3864538245307725,1.4102597799607297,1.5862450717278003,1.6309235696993136,0.9726054005217727,0.3307494575319754,0.9999570852014581
Tigd5,Tigd5,Adipocytes_Brown,time,Control,M,-0.7391865478586981,0.8301949639955579,-2.3474635616212187,0.8126261125626928,1.6082770137625206,1.1617163496578413,1.3843973309286766,0.1662368257681215,0.9999570852014581
Bmal2,Bmal2,Adipocytes_Brown,time,Control,M,-0.0223705115622269,0.743676984549079,-1.6355732567029924,0.733640585417778,1.6132027451407656,1.0446453780686302,1.544258730291135,0.12252566611733862,0.9999570852014581
Aspg,Aspg,Adipocytes_Brown,time,Control,M,-1.901512189473232,0.3621094491065973,-3.551254577492015,1.0050743352429088,1.6497423880187827,1.0683153431905106,1.544246648271331,0.12252859191996168,0.9999570852014581
Rasgef1b,Rasgef1b,Adipocytes_Brown,time,Control,M,-0.1838611045911109,0.839210425288378,-1.8505077852236087,0.6487800555390087,1.6666466806324978,1.060749592683353,1.5711970969665152,0.11613687420019447,0.9999570852014581
